,Jurisdiction,year,County,DiversionRateHouse,DiversionRateNoOfEmployee,MedianHouseValue,MedianGrossRent,Jurisdiction_stat,Bins,D.R.E_category,D.R.H_category,Population,MedianAge,Latino,White,Black,Asian,LaberFocre,LaberForceEmplyed,LaberForceUnemployed,UnemploymentRate,FemalesEmploymentRate,CoummuteTime,MedianIncome,PovertyRate,TotalUnit,1-UnitDetached,1-UnitAttached,MoreThan20UnitsInStructure,MedianNoOfRooms,lat,lon
0,Adelanto,2013,San Bernardino,0.7681159420289855,0.729064039408867,170500.0,988.0,"Adelanto, CA","(0.65, 0.8]",Good,Good,29764.0,24.5,51.5,18.5,20.5,2.9,10213.0,8202.0,2014.0,19.7,45.7,39.5,43305.0,25.6,8291.0,79.1,2.2,3.3,5.7,34.5827699,-117.409215
1,Agoura Hills,2013,Los Angeles,0.6071428571428572,0.6743421052631579,740200.0,2000.0,"Agoura Hills, CA","(0.5, 0.65]",Good,Okay,20328.0,43.5,9.3,79.1,1.9,6.9,11631.0,10898.0,733.0,6.3,66.9,28.8,106886.0,4.0,7681.0,70.2,13.4,7.6,6.6,34.1363945,-118.7745348
2,Alameda,2013,Alameda,0.7636363636363637,0.8084112149532711,662300.0,1250.0,"Alameda, CA","(0.65, 0.8]",Great,Good,72512.0,40.2,11.4,45.0,5.6,31.8,39562.0,36352.0,3210.0,8.1,63.1,27.2,74221.0,10.1,31572.0,42.3,10.3,16.7,4.7,49.266667,-102.283333
4,Albany,2013,Alameda,0.81,0.7823834196891192,625400.0,1409.0,"Albany, CA","(0.8, 1.0]",Good,Great,17921.0,36.2,8.6,53.5,3.2,30.0,9333.0,8808.0,525.0,5.6,61.9,29.1,71994.0,8.7,7755.0,53.5,3.7,13.9,4.6,53.6326034,-113.548554212855
5,Alhambra,2013,Los Angeles,0.6842105263157895,0.7013888888888888,514800.0,1126.0,"Alhambra, CA","(0.65, 0.8]",Good,Good,83389.0,38.7,34.1,10.9,1.2,52.6,43899.0,40558.0,3341.0,7.6,57.6,29.1,51527.0,12.7,30551.0,44.5,12.5,9.8,4.4,34.093042,-118.12706
7,Alturas,2013,Modoc,0.6102941176470589,0.7,132200.0,565.0,"Alturas, CA","(0.5, 0.65]",Good,Okay,2833.0,38.3,11.1,80.7,1.4,2.8,1294.0,1150.0,144.0,11.1,61.9,8.5,32385.0,26.0,1387.0,77.1,1.8,5.3,5.0,41.487123,-120.5423271
8,American Canyon,2013,Napa,0.7898550724637681,0.7929411764705883,419000.0,1459.0,"American Canyon, CA","(0.65, 0.8]",Good,Good,17692.0,36.7,26.2,31.4,6.5,30.2,9004.0,8337.0,667.0,7.4,63.8,32.6,80556.0,5.1,5602.0,80.7,0.8,2.2,6.5,38.1749179,-122.2608044
9,Anaheim,2013,Orange,0.6524390243902438,0.6441717791411044,503000.0,1262.0,"Anaheim, CA","(0.65, 0.8]",Okay,Good,333039.0,32.1,51.8,28.8,2.4,14.7,172354.0,155785.0,16569.0,9.6,60.7,26.6,57807.0,13.7,105050.0,43.0,8.5,17.9,4.6,33.8347516,-117.911732
10,Antioch,2013,Contra Costa,0.6666666666666667,0.6651583710407241,388300.0,1213.0,"Antioch, CA","(0.65, 0.8]",Good,Good,99717.0,32.6,31.6,37.0,16.6,9.5,48910.0,43865.0,5045.0,10.3,59.0,39.3,66351.0,13.4,34730.0,77.1,4.9,6.7,6.1,38.0049214,-121.805789
11,Apple Valley,2013,San Bernardino,0.7272727272727273,0.7194444444444444,262100.0,976.0,"Apple Valley, CA","(0.65, 0.8]",Good,Good,67396.0,35.2,28.5,57.2,10.2,2.0,28887.0,25155.0,3732.0,12.9,51.1,31.4,50066.0,17.9,24683.0,76.2,3.3,1.3,5.8,34.5008311,-117.1858759
